0.3510,0.5666,0.6270,0.7894,0.8522,0.8797,0.8792,0.8962,0.9001,0.8960,0.9013,0.9101
0.4950,0.6734,0.7252,0.8395,0.8788,0.9011,0.8913,0.9022,0.9234,0.9117,0.9217,0.9127
0.5689,0.7290,0.7790,0.8773,0.9048,0.9101,0.9099,0.9251,0.9175,0.9202,0.9212,0.9183
0.6262,0.7708,0.8070,0.8822,0.9077,0.9280,0.9293,0.9202,0.9272,0.9185,0.9198,0.9255
0.6665,0.7979,0.8307,0.9021,0.9300,0.9272,0.9353,0.9431,0.9417,0.9315,0.9266,0.9288
0.7055,0.8127,0.8462,0.9152,0.9404,0.9491,0.9449,0.9482,0.9322,0.9322,0.9315,0.9410
0.7205,0.8378,0.8584,0.9099,0.9334,0.9537,0.9459,0.9430,0.9403,0.9393,0.9474,0.9266
0.7431,0.8505,0.8733,0.9269,0.9482,0.9649,0.9505,0.9568,0.9458,0.9505,0.9444,0.9448
0.7457,0.8453,0.8940,0.9432,0.9446,0.9701,0.9668,0.9556,0.9666,0.9459,0.9408,0.9362
0.7580,0.8565,0.8792,0.9476,0.9664,0.9736,0.9664,0.9675,0.9659,0.9630,0.9401,0.9444
0.7869,0.8766,0.8696,0.9356,0.9675,0.9643,0.9748,0.9795,0.9569,0.9651,0.9477,0.9356
0.7648,0.8656,0.8941,0.9371,0.9689,0.9520,0.9715,0.9504,0.9488,0.9449,0.9459,0.9370
0.7423,0.8578,0.8719,0.9323,0.9519,0.9680,0.9626,0.9589,0.9519,0.9497,0.9406,0.9380
0.7338,0.8042,0.8387,0.9046,0.9261,0.9412,0.9426,0.9392,0.9345,0.9366,0.9279,0.9247
0.7049,0.7755,0.7955,0.8447,0.8818,0.9009,0.9018,0.9144,0.9134,0.9230,0.9149,0.9123
0.6671,0.6946,0.7050,0.7776,0.8103,0.8442,0.8612,0.8739,0.8766,0.8899,0.8809,0.8881
0.6010,0.5539,0.6152,0.6427,0.7164,0.7335,0.7756,0.7886,0.8311,0.8514,-0.0002,0.0000
