1.1043,2.6345,3.6806,12.7465,28.1701,50.3109,78.0496,113.6493,156.6872,206.3466,266.1513,335.3652
1.8566,3.3519,4.5138,13.6693,29.1983,51.8318,79.2797,114.9600,161.1539,210.0904,272.4545,338.3052
2.6060,4.1216,5.3683,15.0272,30.9486,52.8081,81.6935,119.4124,161.8866,214.3159,275.8916,344.4926
3.4370,4.9573,6.1590,15.9286,31.6268,55.4365,85.1771,120.8426,166.7696,217.6832,279.4610,353.5673
4.3315,5.9943,7.2657,17.4124,34.2703,57.3041,87.3751,127.0108,172.6333,225.1311,288.8083,363.1409
5.4167,6.9580,8.2530,18.8287,36.3113,60.6028,91.1708,130.9622,175.6296,231.6120,296.4057,374.5530
6.2925,8.3241,9.4605,19.9495,37.3095,63.2622,94.6515,134.1947,181.2617,240.1578,308.3178,377.6556
7.4937,9.5290,10.9095,21.8717,40.3063,66.7033,98.7456,140.5739,188.9784,249.7578,317.3467,396.2809
9.0150,10.9565,12.9137,24.4210,42.2816,70.5457,104.6146,145.3181,199.3068,254.7874,322.0025,401.7666
9.7649,12.1092,13.5581,26.2254,46.4464,73.6022,108.4037,152.0300,205.2557,266.9689,331.8879,414.5966
11.3453,13.8751,14.7667,27.9722,49.1736,76.1690,114.2541,161.8307,210.6417,277.9221,345.6385,424.0582
12.2334,15.2551,17.2282,30.3600,52.8237,79.5617,119.2846,162.6789,217.4742,280.3882,354.9054,436.3266
13.3298,16.7751,18.2771,32.7372,55.0269,86.4220,124.8425,171.5171,227.5331,292.5804,367.4164,451.2013
13.6833,17.7559,20.0402,35.0410,58.0299,89.9928,130.6040,179.1700,235.3605,303.6820,376.8130,461.2292
12.7915,19.8349,21.9333,36.4327,60.8221,94.0269,134.6655,186.0339,243.7527,315.0699,386.9693,474.3466
11.9708,17.9072,21.2876,39.4578,63.9010,98.8972,141.8811,193.3585,251.4855,321.8487,394.6040,484.1668
10.8205,13.8387,17.7456,34.4407,61.1376,92.3847,134.3145,180.5519,242.0414,310.0413,-0.0009,0.0000
